predictions,true
"[0.44136267 0.4457589  0.44872335 0.44032841 0.44172657 0.44824723
 0.44899074 0.425533   0.45408693 0.46632878 0.47640395 0.44079795
 0.46439038 0.43928958 0.4645643  0.46436914 0.44830991 0.45442258
 0.46272683 0.44467783 0.46208766 0.45129882 0.45329537 0.4392171
 0.43828332 0.44008921 0.46555084 0.43102116 0.46077075 0.45629765
 0.44556578 0.45059488 0.45478347 0.45447816 0.44087864 0.44999718
 0.44305371 0.45282103 0.45781822 0.44501799 0.4375139  0.4599843
 0.43217074 0.45602215 0.44167359 0.46010403 0.45041936 0.44319619
 0.46511813 0.45967324 0.43283549 0.42985269 0.43392736 0.44755299
 0.44191331 0.45731238 0.46127595 0.45790584 0.44652136 0.43824402
 0.4570511 ]","[1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1]"
"[0.44726046 0.46740546 0.44518403 0.44662251 0.45052002 0.44627819
 0.46190979 0.4598469  0.45638092 0.44046889 0.45857429 0.49852898
 0.43784941 0.44768468 0.43920621 0.42885757 0.46557277 0.48677954
 0.39799807 0.44153309 0.49326465 0.46635742 0.4577804  0.46546289
 0.44435901 0.44896712 0.43447271 0.36979866 0.47667309 0.43904439
 0.44366556 0.44044424 0.44126441 0.49637869 0.45662582 0.46909531
 0.44523822 0.44798345 0.45407277 0.4708742  0.46202294 0.47767151
 0.43698158 0.43808391 0.47850225 0.45350003 0.50358441 0.44333871
 0.45439691 0.47330195 0.45435944 0.39898906 0.42420433 0.4917911
 0.46739529 0.42719522 0.45796056 0.47468864 0.46118384 0.44145523
 0.42550746]","[0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 0 0 1 1 1 0
 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1]"
"[0.44504042 0.45190252 0.46724118 0.43113968 0.45910611 0.46706745
 0.44934985 0.45779023 0.42013483 0.45476453 0.44909454 0.46512631
 0.45555238 0.44645174 0.46728181 0.45356876 0.45035388 0.45372396
 0.44769924 0.46020268 0.45180208 0.45505058 0.44472293 0.44693692
 0.44098806 0.45942151 0.45358972 0.4599416  0.44506762 0.43951069
 0.463786   0.43281392 0.44516374 0.45976179 0.44034579 0.43964185
 0.42876091 0.46114047 0.46713828 0.46493623 0.4539654  0.43318989
 0.43528233 0.44139568 0.44575498 0.4621413  0.44782969 0.46035309
 0.45178085 0.45407953 0.44465256 0.47231886 0.43883885 0.4435614
 0.44599217 0.43028489 0.47209767 0.44050622 0.4448504  0.45733382
 0.46695723]","[0 0 1 0 1 1 1 1 0 1 1 0 0 0 0 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 1]"
"[0.44770424 0.43868202 0.44051458 0.45767662 0.46096833 0.44868803
 0.42066659 0.45479528 0.44874825 0.42259428 0.43768395 0.45071652
 0.46095944 0.46001843 0.4571359  0.43677072 0.46573453 0.44416106
 0.46419052 0.44205774 0.42221675 0.45751136 0.4425053  0.45691839
 0.4858554  0.45122369 0.44826651 0.4127947  0.43029413 0.46277333
 0.46596835 0.43723322 0.4650335  0.44235583 0.43568957 0.49047216
 0.43191873 0.45166293 0.4186355  0.45768214 0.44359245 0.45894495
 0.45134153 0.43483659 0.47286365 0.4452569  0.44607674 0.48206577
 0.45792243 0.45604807 0.45008757 0.45563885 0.45398058 0.43364881
 0.47834763 0.45291943 0.43957394 0.47043277 0.46132611 0.46228913
 0.45650643]","[0 1 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 1 1 0 1 0 1 1 1 0 1 1 1 1 0 0 1 1 0 0 0 1 0 0]"
"[0.43539226 0.46373565 0.45640729 0.42251526 0.46169827 0.43656398
 0.44447906 0.45824952 0.45573316 0.46033315 0.43256828 0.44045937
 0.45082673 0.45692467 0.45285403 0.42784735 0.43765847 0.43402405
 0.44131779 0.43651281 0.437495   0.46404872 0.44409247 0.44917866
 0.43898007 0.45788493 0.43829574 0.4535614  0.46281794 0.44372669
 0.46750692 0.44559684 0.45052969 0.44039388 0.43774424 0.41757523
 0.44581048 0.45177608 0.43676099 0.45580479 0.46435839 0.44012619
 0.46896048 0.44860307 0.45132439 0.44342564 0.4222798  0.46874399
 0.45376234 0.43094072 0.44417564 0.44929868 0.44162246 0.44672497
 0.45700086 0.42864994 0.44086226 0.44129175 0.4438619  0.45933838
 0.45251075]","[1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0
 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 1 0]"
